Created at 1/26/2008 11:03:47 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
119,4.62086003182887E-07,0.115070435003346,2.12906786493017E-07,2.1429336222066E-07,7.66379286899382E-02,6.24758841632412E-03,3.64875835871479E-04,5.99593614815445E-06,0.19832771316778,0,0,0,0
120,2.35578425867803E-06,0.108874051275293,7.57764796504358E-07,1.79280465449528E-07,7.58031887081663E-02,6.25633630613543E-03,3.70993907167214E-04,6.14064012196417E-06,0.191314003666404,0,0,0,0
121,1.08815346168982E-05,9.50343925177416E-02,2.45224127254232E-06,1.44506351542557E-07,7.49691765754526E-02,6.25697726767998E-03,3.77122198529808E-04,6.28552513034049E-06,0.176657432366775,0,0,0,0
122,4.55376447753572E-05,7.61311138702308E-02,7.22534253976533E-06,1.12194276474116E-07,7.41358128365523E-02,6.24887202038635E-03,3.83260878601258E-04,6.43059418437814E-06,0.156958365381547,0,0,0,0
123,1.72653935489755E-04,0.05573874649726,1.94162725196069E-05,8.39595258593364E-08,7.33030180200887E-02,6.23201731151792E-03,3.89410116298791E-04,6.57585066808062E-06,0.135861921963369,0,0,0,0
124,5.93072660565167E-04,3.71769765063838E-02,4.76907286352998E-05,6.0711446555103E-08,7.24707126350422E-02,6.20846545144029E-03,3.95570080819327E-04,6.72129774275048E-06,0.116899270072075,0,0,0,0
125,1.84571591481884E-03,2.25352340183839E-02,1.07363296098857E-04,4.26809429530504E-08,7.16388171672394E-02,6.17928968071077E-03,4.01740941643969E-04,6.86693891598251E-06,0.102715070638755,0,0,0,0
126,5.20412121947962E-03,1.23916987214591E-02,2.22282709423613E-04,2.95454398700968E-08,7.08072520758394E-02,6.14749826056741E-03,4.07922868542483E-04,7.01277771923181E-06,9.51878181784707E-02,0,0,0,0
127,1.32940010557877E-02,6.17280438404687E-03,4.24968474308193E-04,2.06084203860041E-08,6.99759377898192E-02,6.11154733922433E-03,4.14037191369781E-04,7.1588178768482E-06,9.64004756608532E-02,0,0,0,0
128,3.07673568601018E-02,2.78265835828259E-03,7.53808496471676E-04,1.49884003838827E-08,6.91447947044574E-02,6.07327370716253E-03,4.20105260378158E-04,7.30506328022948E-06,0.109949317438535,0,0,0,0
129,6.45136942469023E-02,1.13425012968217E-03,1.2470081152282E-03,1.178102648281E-08,6.83137431778157E-02,6.03512227199086E-03,4.26050982424916E-04,7.4515178687196E-06,0.141677332222939,0,0,0,0
130,0.122558551708795,4.17783789012745E-04,1.93408801931011E-03,1.01735260987078E-08,6.74827035272184E-02,5.99708797360393E-03,4.31842214015459E-04,7.59818575782264E-06,0.19882966559124,0,0,0,0
131,0.210946526991255,1.38984985433976E-04,2.8261989376103E-03,9.50765687847789E-09,6.66515960257303E-02,5.95916575380256E-03,4.37387280107931E-04,7.74507106183273E-06,0.286967614552659,0,0,0,0
132,0.328970110452297,4.17428825516632E-05,3.90625814535085E-03,9.30205402640848E-09,6.58374165790706E-02,5.92135055605622E-03,4.4257598420763E-04,7.89217797984975E-06,0.405127356079568,0,0,0,0
133,0.464882374348667,1.13155602291396E-05,5.12008231503749E-03,9.25981678962706E-09,6.50400859061932E-02,5.88363732526546E-03,4.47438420050323E-04,8.03951070518728E-06,0.541392982645964,0,0,0,0
134,0.595463379909172,2.77147279059486E-06,6.37140165560511E-03,9.31725128627058E-09,6.42595252162119E-02,5.84602100752438E-03,4.51803452998168E-04,8.18707345041005E-06,0.672403099105004,0,0,0,0
