Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
108,0.557078947325515,2.12975285485991E-02,2.38965786964701E-04,2.8378449484832E-07,5.11130181822604E-02,8.7310371537675E-04,1.11712836280966E-05,3.81977874447229E-08,0.630613056824626,0,0,0,0
109,0.706154569433409,1.95515437474333E-02,2.1850337626761E-04,3.31239673337256E-07,5.11895433330557E-02,8.94348736236242E-04,1.15170088996569E-05,4.00880467714773E-08,0.778020396963022,0,0,0,0
110,0.817570286658487,1.89154353142158E-02,1.87170120509219E-04,4.14246792834506E-07,5.12249149067012E-02,9.15912542374217E-04,1.18678566913973E-05,4.19840600111372E-08,0.888826043629832,0,0,0,0
111,0.869045533202537,1.99613023402244E-02,1.51962324420872E-04,5.51903024204314E-07,5.12492052223381E-02,9.37962094673621E-04,1.22247813091368E-05,4.3886000721605E-08,0.941358785754528,0,0,0,0
112,0.856680478972505,2.24878757012096E-02,1.20133631499742E-04,7.62315901259751E-07,5.12923938382598E-02,9.60274775431103E-04,1.25877929523347E-05,4.58127878534489E-08,0.931554552840547,0,0,0,0
113,0.796793921149134,2.56326152643894E-02,9.63671818922816E-05,1.04541736423311E-06,5.13544563312738E-02,9.82901173674545E-04,1.29558340677635E-05,4.77786754845954E-08,0.874874310130472,0,0,0,0
114,0.717534969206336,2.83015034376052E-02,8.21352397718388E-05,1.3712648844673E-06,5.14443643742008E-02,1.00567218269282E-03,1.33277861944014E-05,4.97895497955552E-08,0.798383393281236,0,0,0,0
115,0.644600090902344,2.96929507289092E-02,7.71228280220582E-05,1.6842573605328E-06,5.15620949492634E-02,1.02858839064563E-03,1.37023431427035E-05,5.1845340024193E-08,0.726976286245027,0,0,0,0
116,0.589402571956205,2.96340040422991E-02,8.12909143095938E-05,1.92606620030858E-06,5.17076258786498E-02,1.05165037944538E-03,1.40782300597726E-05,5.39420743999873E-08,0.671893201409243,0,0,0,0
117,0.546509708363796,2.85525941993842E-02,9.58757022920793E-05,2.06720748364089E-06,0.051871542447376,1.07481612907265E-03,1.44554577157641E-05,5.60798130319818E-08,0.628121115586933,0,0,0,0
